row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-2.238656521;-2.307147741,,,,,
POINT,1,,1.550654054;0.5187087655,,,,,
POINT,2,,-0.8563300371;0.3498239517,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.4019929469;-0.6027069092,1,,,1
SUBSET_WITNESS,,{0},,-2.238656521;-2.307147741,1,0,8.970325351,1
SUBSET_WITNESS,,{1},,1.550654054;0.5187087655,1,0,5.822094506,1
SUBSET_WITNESS,,{2},,-0.8563300371;0.3498239517,1,0,5.822094506,1
SUBSET_WITNESS,,"{0,1}",,0.6808803082;-2.257920742,9.029428482,8.526118289,9.163348198,1
SUBSET_WITNESS,,"{0,2}",,-1.459238052;-0.9808279872,3.4212358,2.366617084,11.30806065,1
SUBSET_WITNESS,,"{1,2}",,0.3667295277;0.5532095432,2.529578686,1.537240341,14.96967983,1
SUBSET_WITNESS,,"{0,1,2}",,-0.3360240161;-0.8919476271,6.660982609,,,1
