row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{1,3,4}",,-0.1574219912;-0.04139053077;-3.177609205;-0.430670917,4.548266411,5.783109888,6.767774925,1
SUBSET_WITNESS,,"{1,3,5}",,-0.3464227617;-0.8712850213;2.888206005;-0.6716753244,5.446899891,6.142711684,6.831299782,1
SUBSET_WITNESS,,"{1,4,5}",,-0.1865788102;-2.530329704;2.136922359;-0.7209300399,6.179082394,6.875109125,6.962092519,1
SUBSET_WITNESS,,"{2,3,4}",,0.3065375686;-0.218548879;0.6861699224;-1.233578205,1,1.660104729,5.360543549,1
SUBSET_WITNESS,,"{2,3,5}",,-0.05444404855;-0.1245033965;1.474057674;0.1197963431,2.055318117,3.311250191,3.780120999,1
SUBSET_WITNESS,,"{2,4,5}",,0.8575044274;-0.4156262875;0.8945875764;0.3456617594,1.802694201,3.504678372,4.099429465,1
SUBSET_WITNESS,,"{3,4,5}",,0.3963020444;-1.329313636;1.639015913;-0.3253691494,2.593575716,3.462356102,3.578743204,1
SUBSET_WITNESS,,"{0,1,2,3}",,-1.259937882;0.1509222388;-1.99001646;-0.7051126361,3.570908546,4.629305437,5.288875002,1
SUBSET_WITNESS,,"{0,1,2,4}",,-0.6599920988;0.9579673409;-1.224023104;0.3128129542,2.991932154,3.847765812,4.189459747,1
SUBSET_WITNESS,,"{0,1,2,5}",,-0.9183095098;0.9965748787;-1.656346202;0.4485170543,4.036797047,4.295700008,4.980185479,1
SUBSET_WITNESS,,"{0,1,3,4}",,-0.829863131;-0.09041591734;-2.307112694;-0.08234588057,3.604539394,5.107360855,5.789735019,1
SUBSET_WITNESS,,"{0,1,3,5}",,-1.270085812;0.06539435685;-2.346755743;0.2151356339,5.514379501,6.429139555,6.95397073,1
SUBSET_WITNESS,,"{0,1,4,5}",,-0.7549167871;0.149038583;-1.793733478;0.8629698753,5.400793552,6.431660879,6.990258574,1
SUBSET_WITNESS,,"{0,2,3,4}",,-0.6511535645;0.06603000313;0.576738596;-0.4536269605,2.097390413,3.200630262,5.155129615,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.5979532599;0.1170985475;1.510969043;0.109865427,1.920244932,4.003747776,5.197641423,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.6169352531;-0.4937005937;0.9319401979;0.547665894,2.557680845,3.907086538,4.635711867,1
SUBSET_WITNESS,,"{0,3,4,5}",,-0.3626221716;-0.9887160659;-0.810518086;-0.005938328337,2.443519831,3.84604843,5.651675642,1
SUBSET_WITNESS,,"{1,2,3,4}",,0.01193814259;1.278427362;1.573556781;-0.9685958028,4.099640369,3.505300488,6.57906807,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.7022884488;1.787659049;1.8845824;-0.8055525422,4.389657021,5.058013231,5.137219135,1
SUBSET_WITNESS,,"{1,2,4,5}",,-0.04102006182;1.294188499;-1.572971344;0.7077481747,4.500025272,4.183701932,5.443644251,1
SUBSET_WITNESS,,"{1,3,4,5}",,0.5467619896;-2.84981513;1.004455328;-0.4670034647,7.617482662,7.552226882,8.940081501,1
SUBSET_WITNESS,,"{2,3,4,5}",,0.6625338793;0.1079295427;0.9012521505;0.1519590616,3.211904287,4.131426156,6.174777676,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,-0.5930089355;0.4371469021;-2.094786644;-0.5208214521,2.964979649,4.949229844,8.955284745,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.8193147779;-0.7985130548;1.988470435;-0.5604434609,3.963171244,4.072872773,6.275052279,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,-0.5183098316;1.18230927;-1.531231642;0.5485754013,3.809290648,4.869218864,4.968904479,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-0.7333770394;-0.002857238753;-1.949209809;0.3064157069,4.304872513,5.108269095,5.689470321,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,-0.2768096626;-0.3504908979;1.153331757;0.2063062191,2.39840579,4.146101594,8.776736021,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.05471445248;-0.4315422177;2.011120081;-0.721021533,4.238759995,5.013069361,5.626147568,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.6836566329;-0.9047164917;1.706982613;-0.6937335134,4.136980057,,,1
